Country,Population_Size,Tourism,Date_FirstFatality,Date_FirstConfirmedCase,Latitude,Longtitude,Mean_Age,Lockdown_Date,Lockdown_Type,Cases,Deaths,Case_Rate,Case_Fatality_Ratio,Indoor_Pollution_Death_Rate,Outdoor_Pollution_Death_Rate
Afghanistan,37172386,14000,3/23/2020,2/25/2020,33.93911,67.709953,17.3,3/24/2020,Full,170152,7488,457.7376335,0.044007711,51.54828729,134.9937531
Albania,2866376,5340000,3/12/2020,3/10/2020,41.153332,20.168331,36.2,3/8/2020,Full,267551,3407,9334.120855,0.012734021,22.6412763,18.28075417
Algeria,42228429,2657000,3/13/2020,2/26/2020,28.033886,1.659626,27.5,3/24/2020,Full,261226,6715,618.6022217,0.025705711,44.02829676,0.191766503
Andorra,77006,3042000,3/23/2020,3/3/2020,42.546245,1.601554,37,3/16/2020,Full,37140,148,48230.00805,0.003984922,15.7974753,0.165664162
Angola,30809762,218000,3/30/2020,3/21/2020,-11.202692,17.873887,16.4,,,98514,1898,319.7493054,0.019266297,34.78888102,62.19905799
Antigua and Barbuda,96286,269000,4/8/2020,3/14/2020,17.060816,-61.796428,30.7,,,7331,134,7613.775627,0.018278543,30.92029963,1.435593983
Argentina,44494502,6942000,3/9/2020,3/4/2020,-38.416097,-63.616672,30.8,3/20/2020,Full,8728262,123987,19616.49554,0.014205234,29.08394386,2.260202746
Armenia,2951776,1652000,3/27/2020,3/2/2020,40.069099,45.038189,33.9,3/24/2020,Full,404805,8157,13713.94713,0.020150443,53.93490714,11.90403664
Australia,24982688,9246000,3/2/2020,1/26/2020,-25.274398,133.775136,37.4,3/25/2020,Partial,2902294,4593,11617.22069,0.00443066,10.78735253,0.083362775
Austria,8840521,30816000,3/13/2020,2/26/2020,47.516231,14.550072,43.2,3/16/2020,Full,2248713,14360,25436.43073,0.006385875,17.67028439,0.266582585
Azerbaijan,9939800,2633000,3/14/2020,3/2/2020,40.143105,47.576927,30.3,3/2/2020,Full,738328,9027,7427.996539,0.012226273,60.16291408,20.75141979
Bahamas,385640,14000,4/2/2020,3/17/2020,25.03428,-77.39628,32.5,4/17/2020,Full,32925,757,8537.75542,0.022991648,30.30450328,2.020472157
Bahrain,1569439,12045000,3/17/2020,2/25/2020,25.930414,50.637772,31.2,2/25/2020,Full,458539,1425,29216.7456,0.003107696,63.70682413,0.280331589
Bangladesh,161356039,14000,3/19/2020,3/9/2020,23.684994,90.356331,25.6,3/19/2020,Full,1904826,28791,1180.51113,0.015114766,50.02837001,61.98537817
Barbados,286641,680000,4/6/2020,3/18/2020,13.193887,-59.543198,38.5,3/28/2020,Full,51311,295,17900.78879,0.005749255,35.0560961,0.042679749
Belarus,9483499,11501600,4/1/2020,2/29/2020,53.709807,27.953389,39.6,4/7/2020,Full,823045,6237,8678.706035,0.007577957,50.22097656,0.692619198
Belgium,11433256,9119000,3/12/2020,2/5/2020,50.503887,4.469936,41.3,3/17/2020,Full,3421081,29624,29922.19364,0.008659251,19.41505013,0.104423222
Belize,383071,489000,4/7/2020,3/24/2020,17.189877,-88.49765,23.5,4/16/2020,Full,55183,631,14405.42354,0.011434681,32.37512413,12.17698152
Benin,11485048,295000,4/7/2020,3/17/2020,9.30769,2.315834,18.2,,,26552,163,231.1875405,0.006138897,24.96825073,89.36395534
Bhutan,754394,274000,,3/7/2020,27.514162,90.433601,26.3,3/6/2020,Full,7199,5,954.2758824,0.000694541,51.96556065,24.59026121
Bolivia,11353142,1142000,3/30/2020,3/12/2020,-16.290154,-63.588653,37,3/12/2020,Full,882649,21261,7774.490974,0.024087718,34.79952956,19.63842884
Bosnia and Herzegovina,3323929,1053000,3/22/2020,3/6/2020,43.915886,17.679076,41,3/11/2020,Full,362527,14984,10906.58074,0.041332094,36.71504367,22.08164444
Brazil,209469333,6621000,3/18/2020,2/27/2020,-14.235004,-51.92528,31.3,3/17/2020,Partial,27434286,638346,13097.04175,0.023268183,25.09640527,5.583721424
Brunei,428962,14000,3/29/2020,3/10/2020,4.535277,114.727669,37,,,21579,98,5030.515524,0.004541452,20.23316232,0.16086464
Bulgaria,7025037,9273000,3/12/2020,3/9/2020,42.733883,25.48583,43.5,3/13/2020,Full,1035285,34359,14737.07541,0.033187963,41.65083484,10.24999951
Burkina Faso,19751535,144000,3/19/2020,3/11/2020,12.238333,-1.561593,17,3/21/2020,Full,20705,375,104.8272957,0.018111567,22.86101255,111.0732076
Cabo Verde,543767,710000,3/25/2020,3/21/2020,16.5388,-23.0418,23.8,,,55840,400,10269.10423,0.007163324,26.50096103,24.63158195
Cambodia,16249798,6201000,,1/28/2020,12.565679,104.990963,24,3/28/2020,Partial,123042,3015,757.1909509,0.024503828,24.16009335,84.71483473
Cameroon,25216237,14000,3/26/2020,3/7/2020,7.369722,12.354722,18.3,,,118675,1915,470.6293013,0.016136507,57.97638215,57.17836064
Canada,37057765,21134000,3/10/2020,1/27/2020,56.130366,-106.346771,40.5,3/16/2020,Partial,3186067,35439,8597.569227,0.006056935,10.8504515,0.024770498
Central African Republic,4666377,14000,,3/16/2020,6.611111,20.939444,17.8,,,14154,111,303.3188274,0.007842306,49.09918871,153.3414568
Chad,15477751,14000,,3/20/2020,15.454166,18.732207,16.1,,,7216,190,46.62176049,0.026330377,34.73034391,126.1919321
Chile,18729160,5723000,3/23/2020,3/4/2020,-35.675147,-71.542969,33.7,3/26/2020,Full,2582934,40464,13790.97621,0.015665906,21.62611695,2.937137106
China,1392730000,62900000,1/23/2020,1/22/2020,35.86166,104.195397,37,1/23/2020,Full,123728,4855,8.883846833,0.000445236,60.49042418,15.8036408
Colombia,49648685,3904000,3/23/2020,3/7/2020,4.570868,-74.297333,30.1,3/25/2020,Full,6014563,136953,12114.24431,0.022770233,17.93487992,4.40157515
Congo (Brazzaville),5244363,156000,4/3/2020,3/16/2020,-4.521666,21.964255,37,3/28/2020,Partial,23860,375,454.9646926,0.015716681,34.75649378,110.9057683
Congo (Kinshasa),84068091,14000,3/22/2020,3/12/2020,-1.142502,15.852951,37,3/31/2020,Full,85776,1316,102.0315782,0.015342287,34.75649378,110.9057683
Costa Rica,4999441,3017000,3/20/2020,3/7/2020,9.748917,-83.753428,31.4,3/15/2020,Full,757093,7772,15143.55305,0.010265582,17.79308548,3.640153354
Cote d'Ivoire,25069229,1965000,3/30/2020,3/12/2020,7.54,-5.305323,37,,,81118,789,323.5759664,0.009726571,23.07704685,96.25337526
Croatia,4087843,16645000,3/20/2020,2/26/2020,45.1,15.2,42.6,3/22/2020,Partial,1015185,14424,24834.24633,0.014208248,29.44042852,4.654715055
